date,portfolio,cash,market_value,equity,daily_pnl,daily_return,cumulative_return
2025-11-06,portfolio_paper_reasonable,10992.35,8998.65,19991.0,-3.0,-0.00015,-0.00015
2025-11-07,portfolio_paper_reasonable,67.7,19856.87,19924.57,96.58,0.004871,-0.003323
2025-11-10,portfolio_paper_reasonable,685.26,19727.21,20412.47,-0.0,-0.0,0.021083
2025-11-11,portfolio_paper_reasonable,128.29,20105.82,20234.11,0.0,0.0,0.012161
2025-11-12,portfolio_paper_reasonable,148.15,19879.56,20027.71,-0.0,-0.0,0.001836
2025-11-06,portfolio_paper_aggressive_trades,7990.38,11997.62,19988.0,-4.0,-0.0002,-0.0002
2025-11-07,portfolio_paper_aggressive_trades,12.95,19806.42,19819.37,114.46,0.005809,-0.008437
2025-11-10,portfolio_paper_aggressive_trades,778.92,19491.03,20269.95,0.01,0.0,0.014106
2025-11-11,portfolio_paper_aggressive_trades,967.47,19181.42,20148.89,0.01,0.0,0.008049
2025-11-12,portfolio_paper_aggressive_trades,806.02,19173.69,19979.71,-0.01,-0.0,-0.000415
2025-11-06,portfolio_max_autotrader,2920.65,16192.67,19113.32,0.0,0.0,0.0
2025-11-07,portfolio_max_autotrader,488.58,18779.97,19268.55,681.73,0.036678,0.008122
2025-11-10,portfolio_max_autotrader,3469.07,16454.13,19923.2,0.0,0.0,0.042373
2025-11-11,portfolio_max_autotrader,3448.05,21902.61,25350.66,0.0,0.0,0.326335
2025-11-12,portfolio_max_autotrader,2006.01,22960.14,24966.15,0.0,0.0,0.306218
